"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"label.uploadthumbnail","Upload thumbnail","Télécharger une miniature","थंबनेल अपलोड करें","Încărcați miniatura","サムネイルをアップロードします","썸네일 업로드","Загрузите миниатюру","Cargar miniatura","上传缩略图","تحميل الصورة المصغرة","Carregue a miniatura","Carica miniatura"
"label.new","New","Nouveau","नया","Nou","新しい","새로운","Новый","Nuevo","新的","جديد","Novo","Nuovo"
"label.compareAtPrice","Compare at price","Prix de comparaison","तुलना कीमत","Prețul de comparație","価格で比較してください","가격과 비교하십시오","Сравните по цене","Comparar al precio","比较价格","قارن بالسعر","Compare a preço","Prezzo di confronto"
"label.costPerItem","Cost per item","Coût par article","प्रति आइटम लागत","Cost per articol","アイテムごとのコスト","항목 당 비용","Стоимость за товар","Costo por artículo","每项成本","التكلفة لكل عنصر","Custo por item","Costo per articolo"
"label.descriptionOptional","Description (optional)","Description (facultatif)","विवरण (वैकल्पिक)","Descriere (opțional)","説明（オプション）","설명 (선택 사항)","Описание (необязательно)","Descripción (opcional)","描述（可选）","وصف (اختياري)","Descrição (opcional)","Descrizione (opzionale)"
"label.categoryStatus","Category status","Statut de la catégorie","श्रेणी स्थिति","Starea categoriei","カテゴリステータス","카테고리 상태","Статус категории","Estado de categoría","类别状态","حالة الفئة","Status da categoria","Stato Categoria"
"label.parent","Parent","Parent","माता-पिता","Părinte","親","부모의","Родительский","Padre","父母","الأبوين","Pai","Genitore"
"label.productStatus","Product status","Statut du produit","उत्पाद स्थिति","Starea produsului","製品ステータス","제품 상태","Статус продукта","Estado del producto","产品状态","حالة المنتج","Status do produto","Stato Prodotto"
"label.vendor","Vendor","Fournisseur","विक्रेता","Furnizor","ベンダー","공급업체","Продавец","Proveedor","小贩","بائع","Fornecedor","Ordina per"
"label.category","Category","Catégorie","श्रेणी","Categorie","カテゴリー","범주","Категория","Categoría","类别","فئة","Categoria","Categoria"
"label.tags","Tags","Étiquettes","टैग","Etichete","タグ","태그","Теги","Etiquetas","标签","العلامات","Tag","Tag"
"label.collections","Collections","Collections","संग्रह","Colecții","コレクション","컬렉션","Коллекции","Colecciones","收藏","مجموعات","Coleções","Collezioni"
"label.imagePreviewForThisValue","Image preview for this value?","Aperçu de l'image pour cette valeur ?","इस मूल्य के लिए छवि पूर्वावलोकन?","Previzualizare imagine pentru această valoare?","この値の画像プレビュー？","이 값에 대한 이미지 미리보기?","Предварительный просмотр изображения для этого значения?","Vista previa de la imagen para este valor?","图像预览此值？","معاينة الصور لهذه القيمة؟","Visualização de imagem para este valor?","Anteprima immagine per questo valore?"
"label.AddNewAttributeName","Add new {attribute}","Ajouter un nouveau {attribute}","नई {attribute} जोड़ें","Adăugați un nou {attribute}","新しい{attribute}を追加","새 {attribute} 추가","Добавить новый {attribute}","Agregar nuevo {attribute}","添加新{attribute}","أضف {attribute} جديدًا","Adicione novo {attribute}","Aggiungi nuovo {attribute}"
"label.isButton","Is button?","Est-ce un bouton ?","क्या यह बटन है?","Este un buton?","ボタンですか？","버튼은?","Кнопка?","¿Es el botón?","是按钮吗？","هو زر؟","É botão?","È un pulsante?"
"label.noAttributeAvaialble","No attribute avaialble","Aucun attribut disponible","कोई गुणवत्ता उपलब्ध नहीं है","Niciun atribut disponibil","属性はありません","사용 가능한 속성이 없습니다","Атрибутов не доступно","No attribute available","没有可用的属性","لا توجد سمات متاحة","Nenhum atributo disponível","Nessun attributo disponibile"
"label.noCategoryAvaialble","No category avaialble","Aucune catégorie disponible","कोई श्रेणी उपलब्ध नहीं है","Nicio categorie disponibilă","利用可能なカテゴリはありません","사용 가능한 카테고리가 없습니다","Нет категории","No hay categoría disponible","没有可用的类别","لا توجد فئة متاحة","Nenhuma categoria disponível","Nessuna categoria disponibile"
"label.noProductAvaialble","No product avaialble","Aucun produit disponible","कोई उत्पाद उपलब्ध नहीं है","Niciun produs disponibil","利用可能な製品はありません","사용 가능한 제품이 없습니다","Нет продукта","No product available","没有可用的产品","لا منتج متاح","Nenhum produto disponível","Nessun prodotto disponibile"
"label.manual","Manual","Manuel","मैनुअल","Manual","マニュアル","수동","Руководство","Manual","手动的","يدوي","Manual","Manuale"
"label.automated","Automated","Automatisé","स्वचालित","Automatizat","自動化されています","자동화","Автоматизированный","Automatizado","自动化","الآلي","Automatizado","Automatico"
